,,          🔍 Product Research Sheet 🔍,,,,,,,,,,,,,,,,,,,,,,,
,Product info,,,,,,Competitor,,,China,,Creatives,,,,,Cijfers,,,Adverteren,,,,,
#,Status,Datum,Product Naam,Research Methode,Category,Verkoop Prijs,Link,Prijs,Land,Link,Prijs,Ad Link,Video 1,Video 2,Video 3,BTW,Marge ex BTW,Marge in BTW,BER,Test Datum,CTR,CPC,CPM,ROAS 24h,ROAS 48H
1,🧪 Testen,24-01-2024,HeatCup,Adsparo,Sporten,"€ 59,95",https://wellnesspriority.co/collections/harmony-of-the-body/products/cuppypro%C2%AE,"€ 59,95",🌍 World Wide,https://www.temu.com/kuiper/dn9.html?subj=downloadable-ads-shopping&_bg_fs=1&_p_jump_id=841&_x_vst_scene=adg&goods_id=601099519666481&sku_id=17592229682277&adg_ctx=a-d0cad7ef~c-a5a84ecf~f-e7e01546&_x_ads_sub_channel=shopping&_p_rfs=1&_x_ns_prz_type=3&_x_ns_sku_id=17592229682277&mrk_rec=1&_x_ads_channel=google&_x_gmc_account=742386076&_x_login_type=Google&_x_ads_account=7159460000&_x_ads_set=20096586883&_x_ads_id=146111819182&_x_ads_creative_id=657550021569&_x_ns_source=g&_x_ns_gclid=Cj0KCQiAh8OtBhCQARIsAIkWb68CU8F4P0dsLlfSbcp7qRRv3v4aLVBkyF8Y2AHJdRkc1EmCAQRk0sQaAvaEEALw_wcB&_x_ns_placement=&_x_ns_match_type=&_x_ns_ad_position=&_x_ns_product_id=17592229682277&_x_ns_target=&_x_ns_devicemodel=&_x_ns_wbraid=CjkKCQiA5L2tBhCZARIoAJpQpty2n5p4Jdn9BCvhgHfauKNHpfEEUhN2S8iBV8Dc46zCAVp6DxoCIuA&_x_ns_gbraid=0AAAAAo4mICFpKJ4y7rJRX-KokOKXf-cZ9&_x_ns_targetid=pla-2229463777874&gad_source=4&gclid=Cj0KCQiAh8OtBhCQARIsAIkWb68CU8F4P0dsLlfSbcp7qRRv3v4aLVBkyF8Y2AHJdRkc1EmCAQRk0sQaAvaEEALw_wcB,"€ 19,48",Advertentie Link,Video 1,Video 2,Video 3,"€ 12,59","€ 40,47","€ 27,88","1,55",24-01-2024,"1,21%","€ 0,59","€ 9,86","1,80","2,10"
2,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,
